Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54380;3,55;3,72;;;3,72;;;;;;3,45;
60040;1,73;1,64;1.45;1,57;1,22;1,82;1,89;1,9;1,6;1,58;1,54;1,25
60075;1,97;2;1.43;1,45;1,72;2,21;2,23;2,05;2,17;1,48;1,6;1,24
60080;1,1;1,27;;;;;;;;;;
60140;2,56;2,61;2.7;2,76;3,03;3,27;3,63;3,7;2,34;2,36;2,6;
60160;1,59;1,7;;2,32;1,68;2,3;2,86;3,1;;1,49;1,51;1,62
60170;2,85;2,38;1.32;2,2;2,27;2,25;2,46;2,42;2,2;2,12;1,8;2,57
60300;1,2;1,32;1.2;0,7;1,37;1,71;1,85;1,73;2,17;1,1;1,1;1,12
60350;1,27;;;;;;;;;;;
60410;1,25;1,32;1.55;1,4;1,65;1,87;2,3;1,73;1,24;1,15;1,32;
60430;1,52;1,43;1.57;1,44;1,65;1,68;1,24;2,05;1,51;1,38;1,25;1,17
60440;0,64;1,2;1.24;0,99;1,25;1,61;1,77;1,8;1,48;1,53;1,63;1,1
60451;3,31;3,45;3.11;3,38;2,71;2,94;3,07;2,9;2,97;2,27;2,9;3,32
60460;1,79;1,82;1.86;1,9;;2,41;2,44;2,26;2,89;1,4;2,32;1,81
60561;1,38;1,59;1.54;1,33;2,04;2,16;2,52;2,56;1,46;1,37;0,91;1,02
60565;0,83;1,33;1.49;0,96;1,68;1,77;2,14;2,21;1,08;1,16;0,89;1,19
60590;3,35;3,6;3.5;3,6;3,61;3,76;3,83;3,82;2,6;2,96;2,7;3,47
60610;2,2;2,9;3.2;2,87;3,12;3,34;3,5;3,08;3,05;2,1;3,1;3,1
60640;2,87;3,3;3.15;3,8;3,3;3,47;3,56;3,51;2,8;2,57;2,86;3,05
60660;1,57;1,9;2.14;0,92;2,13;2,13;2,17;1,92;0,92;1,19;1,19;1,18
60681;;;;;2,72;2,69;3,2;;1,77;1,6;1,77;1,94
60731;1,68;1,69;2.01;1,57;2,04;2,08;2,06;2,06;1,58;1,41;1,51;1,72
60735;1,63;1,68;1.71;0,96;2,13;2,26;2,2;2,23;1,43;1,35;1,32;1,33
60740;2,74;1,65;1.45;1,53;2,2;2,21;2,25;2,32;2,35;1,4;2,15;1,97
60760;1,82;1,76;1.74;1,9;1,78;1,94;2,1;2,18;1,78;1,5;1,9;1,73
60771;;1,62;1.27;1,6;1,6;1,84;2,02;2,05;1,36;1,13;1,6;1,44
60681;2,15;2,16;1.99;2,01;;;;;;;;
60927;2,38;2,68;3.07;;2,74;2,98;;3,14;2,91;2,47;1,45;2,44
60933;2,16;1,78;2.12;;2,16;;;2,15;1,56;1,53;1,57;2,08
60947;;;;;2,66;;;3,13;;2,41;;
60951;1,85;2,62;2.51;;2,37;2,72;;3,12;2,47;1,6;;1,65
60955;2,05;2,18;2.26;;2,16;2,39;;2,7;2,09;1,82;1,52;1,65
60961;;1,99;;;;;;;;;1,56;
60970;2,6;1,75;1.81;;1,91;2,13;;2,45;1,73;1,32;1,45;1,43
60990;2,69;2,77;2.91;2,77;2,87;2,76;2,63;2,79;2,42;2,23;2,3;2,4
61031;2,37;2,64;2.71;2,49;2,71;2,73;2,73;2,8;2,04;2,1;2,01;2,21
61040;2,42;2,86;3.11;2,31;2,87;2,77;2,91;3,09;2,05;2,28;2,37;2,4
61061;1,48;1,5;1.91;;;1,71;;2,4;1,36;1,26;1,28;1,26
61107;2,56;2,25;2.4;;2,52;3,08;;3;2,71;2,21;2,25;2,29
61110;1,98;2,06;2.64;1,46;2,37;2,87;;3,25;2,52;1,82;1,5;1,63
61137;1,87;2,16;2.77;;2,5;3,01;;3,5;2,71;1,79;1,26;1,37
61140;0,98;1,87;2.19;;2,06;2,18;2,47;2,56;1,1;1,24;1,28;1,12
61150;1,95;2,09;2.54;;2,29;2,21;2,34;2,49;1,54;1,8;1,78;1,72
61190;2,11;2,14;2.72;2,01;2,2;2,33;;2,53;1,91;1,67;1,68;1,68
61210;1,72;1,97;2.3;1,73;2,19;2,55;;2,98;2,44;1,13;1,24;1,43
61230;3,05;3,3;3.27;;2,47;;;;;;3,05;
61250;2,02;2,1;2.75;;2,85;;;;;;2,1;
61267;3,2;3,85;3.95;;3,98;;;;;;3,55;
61270;1,95;2,2;2.15;;2,15;;;;;;1,85;
61271;2,6;2,55;2.95;;2,95;;;;;;2,56;
61341;2,05;2,34;2.35;1,98;2,05;2,34;;2,55;1,76;1,76;1,85;1,78
61350;1,75;1,77;1.78;1,62;1,83;1,77;;1,85;1,78;1,78;1,59;1,75
61383;2,92;3,2;3.25;;3,45;;;;;;2,68;
61385;3,15;2,9;3.05;;3,04;;;;;;2,16;
61390;2,55;2,8;3.15;;3,02;;;;;;2,58;
61403;2,9;2,82;2.82;;2,98;;;;;;2,65;
61423;2,45;2,56;2.94;2,71;2,91;3,43;;3,8;2,92;2,34;2,2;2,04
61461;2,42;2,15;2.24;1,75;2,36;2,94;;2,96;2,39;1,54;1,8;2,11
61490;3,3;3,22;3.32;;3,35;;;;;;3,02;
61500;2,2;2,03;2.24;2,26;2,32;2,32;;2,31;2,16;1,87;1,89;2,13
62053;1,73;1,8;1.77;1,56;1,92;2,26;2,46;1,92;1,6;1,61;1,82;1,63
62055;2,12;2,2;2.14;2,1;2,34;2,5;2,67;2,5;2,03;2,08;2,19;2,06
