Freatimetro;Enero ;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
60095;1,66;1,48;1,48;1,67;1,85;1,82;2,05;2,1;1,89;1,27;1,25;1,26
62053;2,28;2,33;2,1;2,05;2,44;2,25;2,64;2,7;2,16;1,66;1,63;1,44
60140;2,47;2,25;2,7;2,88;2,98;3,43;3,92;3,96;3,47;2,26;2,06;2,52
60151;2,1;1,56;1,9;1,83;2,45;2,82;3,7;3,77;2,23;1,85;1,67;2,03
60410;1,3;1,36;1,82;1,85;1,91;2,25;2,32;2,26;;1,27;1,18;1,45
60230;1,9;2,08;2,2;1,98;2,26;2,5;2,64;2,73;1,7;2,27;1,34;1,29
60520;2,35;2,88;2,43;1,81;2,4;2,4;3,14;3,19;1,66;2,32;1,64;0,82
60080;tapado;tapado;tapado;roto;roto;roto;roto;roto;roto;roto;roto;roto
60440;1,23;0,69;1,38;1,86;1,4;1,61;1,38;1,9;1,97;1,31;0,96;0,62
60300;1,08;1,33;1,28;1,18;1,64;1,82;1,28;2,11;2,08;1,27;1,1;1,04
60040;1,67;2,09;1,27;1,67;1,74;1,84;1,27;1,97;1,86;1,89;1,54;1,67
60430;1,29;1,37;1,46;1,43;1,81;2,04;1,46;2,15;2,2;1,27;1,24;1,27
60075;2,09;2,11;1,6;2,27;2,45;2,24;1,68;2,52;2,08;1,67;1,35;1,77
60160;2,5;1,74;1,72;1,98;3,1;1,86;1,72;3,04;2,74;2,66;2,28;1,91
60170;3,1;3,1;2,88;2,83;3,01;2,95;2,88;2,96;3,07;2,87;2,83;2,92
60771;1,67;;1,37;1,63;1,85;2;1,37;2,25;2,13;1,36;1,33;1,72
60460;1,71;;1,55;1,76;2,3;2,19;1,55;2,86;2,7;2,8;1,59;2
60480;2,41;;2,3;2,39;2,82;2,93;3,49;3,55;3,01;2,34;2,23;2,34
60455;2,63;;2,5;2,6;2,94;2,48;2,5;3,3;3,2;3,72;2,5;2,76
60451;3,05;;2,69;2,54;2,92;3,23;2,69;3,68;3,54;3,12;2,47;3,15
60640;3,1;;3,02;3,35;3,39;2,54;3,02;3,57;3,55;3,27;2,95;3,37
60610;3,57;;3,15;3,06;3,55;3,8;3,15;3,92;3,96;3,72;3,25;3,65
60590;3,82;;3,59;3,6;3,66;3,53;3,59;3,75;3,84;3,63;3,5;3,72
60565;0,85;0,89;;1,48;1,7;1,97;2,05;2,21;1,76;1,02;1,3;
60561;1,07;1,22;;1,83;2,09;3,32;3,04;2,6;2,1;1,31;1,54;1,31
60660;1,74;2,05;;2,04;2,19;2,15;2,11;2,15;1,05;1,68;1,78;1,83
61150;1,93;1,89;;2,23;2,3;2,44;2,4;1,59;2,46;1,91;2,2;1,97
61140;;;;1,62;cerrado;cerrado;cerrado;1,67;cerrado;cerrado;cerrado;1,05
60990;2,81;2,87;;2,84;2,81;3,04;3,21;3,09;2,48;2,81;2,54;1,79
60735;1,47;1,45;;1,65;2,25;2,23;2,14;2,21;2,37;1,25;1,34;1,36
60685;2,01;1,99;;2,44;2,63;2,92;3,04;3,09;3,21;1,97;roto;roto
60970;1,25;1,53;1,49;con barro;1,53;2,28;2,2;2,48;2,29;1,17;1,12;1,45
60955;1,93;1,68;1,7;3,05;2,85;2,68;2,59;2,8;2,13;1,6;1,53;1,95
60947;2,18;2,52;2,49;2,89;2,71;3,19;3,1;3,3;3,12;2,28;2,26;2,23
61107;2,45;2,8;2,78;2,93;2,95;con barro;con barro;con barro;3,42;2,56;2,32;2,48
61137;2,32;;2,74;2,85;2,83;3,41;3,35;3,65;3,38;1,84;1,83;1,92
61061;1;1,36;1,37;con barro;1,36;con barro;2,07;con barro;2,23;1,05;1,07;1,28
60927;1,87;2,43;2,39;2,83;2,43;con barro;3,12;con barro;3,05;2,23;2,31;2,18
60933;1,27;2,1;2,05;con barro;2,1;con barro;con barro;con barro;con barro;1,66;1,65;1,4
61190;2,03;1,85;1,9;;2,22;2,62;2,46;2,66;2,02;1,54;1,3;1,83
61341;2,02;2,03;2,28;1,15;2,15;2,4;2,53;2,65;2,32;1,64;1,49;2,06
61465;2,01;1,86;2,17;1,62;2,4;2,92;2,82;2,91;3,2;1,51;1,11;1,53
61350;1,63;1,64;2,18;1,15;1,15;1,62;2,61;1,63;3,06;3,1;1,23;2,36
61210;1,63;1,54;1,52;1,08;2,22;2,86;2,88;3,33;3,05;1,5;1,02;1,45
61423;2,05;1,85;2,15;1,8;2,91;3,52;2,87;3,82;3,16;2,37;1,45;1,98
61300;;;;;;;;;;;;
61271;2,76;2,77;2,78;1,65;2,56;2,71;2,63;2,8;2,78;2,32;2,48;1,76
54390;3,39;3,4;3,42;2,16;4,66;3,51;3,61;3,7;3,14;1,81;1,69;1,69
61230;3,42;3,44;3,45;1,8;2,83;3,37;3,27;3,72;3,41;2,02;1,74;1,13
61250;3,18;3,2;3,21;2,3;2,77;3,1;3,07;3,1;3,58;2,55;2,25;2,27
61383;3,9;3,92;3,92;tapado;3,5;3,93;4,07;4,06;4,21;2,85;2,42;2,42
61267;4,56;4,58;4,58;3,53;4,1;4,82;4,66;4,74;4,43;3,86;3,59;3,31
61390;4,68;4,7;4,71;4,4;4,66;4,66;4,75;4,62;4,81;4,87;4,32;4,25
61403;3,32;3,34;3,35;1,93;2,94;3,23;3,34;3,48;3,32;1,65;2,02;1,91
