Dia;Mes;Año;Fecha;Altura (m);Cota IGN (msnm);Cota IGN (msnm) corregida
1;1;2010;1/1/2010;2,11;198,412;199,322
2;1;2010;2/1/2010;2,06;198,357;199,267
3;1;2010;3/1/2010;2,02;198,317;199,227
4;1;2010;4/1/2010;2,02;198,317;199,227
5;1;2010;5/1/2010;2,01;198,311;199,221
6;1;2010;6/1/2010;2,01;198,308;199,218
7;1;2010;7/1/2010;1,99;198,294;199,204
8;1;2010;8/1/2010;1,99;198,286;199,196
9;1;2010;9/1/2010;1,98;198,277;199,187
10;1;2010;10/1/2010;1,94;198,242;199,152
11;1;2010;11/1/2010;1,91;198,206;199,116
12;1;2010;12/1/2010;1,87;198,174;199,084
13;1;2010;13/1/2010;1,87;198,167;199,077
14;1;2010;14/1/2010;1,86;198,157;199,067
15;1;2010;15/1/2010;1,85;198,152;199,062
16;1;2010;16/1/2010;1,85;198,151;199,061
17;1;2010;17/1/2010;1,85;198,15;199,06
18;1;2010;18/1/2010;1,85;198,151;199,061
19;1;2010;19/1/2010;1,85;198,149;199,059
20;1;2010;20/1/2010;1,85;198,15;199,06
21;1;2010;21/1/2010;1,85;198,15;199,06
22;1;2010;22/1/2010;1,85;198,151;199,061
23;1;2010;23/1/2010;1,85;198,152;199,062
24;1;2010;24/1/2010;1,85;198,154;199,064
25;1;2010;25/1/2010;1,85;198,153;199,063
26;1;2010;26/1/2010;1,85;198,152;199,062
27;1;2010;27/1/2010;1,85;198,153;199,063
28;1;2010;28/1/2010;1,85;198,153;199,063
29;1;2010;29/1/2010;1,85;198,152;199,062
30;1;2010;30/1/2010;1,85;198,149;199,059
31;1;2010;31/1/2010;1,85;198,152;199,062
1;2;2010;1/2/2010;1,85;198,152;199,062
2;2;2010;2/2/2010;1,85;198,147;199,057
3;2;2010;3/2/2010;1,85;198,15;199,06
4;2;2010;4/2/2010;1,87;198,165;199,075
5;2;2010;5/2/2010;1,87;198,167;199,077
6;2;2010;6/2/2010;1,86;198,164;199,074
7;2;2010;7/2/2010;1,86;198,163;199,073
8;2;2010;8/2/2010;1,86;198,161;199,071
9;2;2010;9/2/2010;1,86;198,158;199,068
10;2;2010;10/2/2010;1,86;198,157;199,067
11;2;2010;11/2/2010;1,86;198,158;199,068
12;2;2010;12/2/2010;1,86;198,159;199,069
13;2;2010;13/2/2010;1,87;198,172;199,082
14;2;2010;14/2/2010;1,88;198,176;199,086
15;2;2010;15/2/2010;1,88;198,183;199,093
16;2;2010;16/2/2010;1,88;198,181;199,091
17;2;2010;17/2/2010;1,88;198,182;199,092
18;2;2010;18/2/2010;1,91;198,212;199,122
19;2;2010;19/2/2010;1,93;198,226;199,136
20;2;2010;20/2/2010;1,93;198,225;199,135
21;2;2010;21/2/2010;1,94;198,241;199,151
22;2;2010;22/2/2010;1,96;198,257;199,167
23;2;2010;23/2/2010;1,95;198,251;199,161
24;2;2010;24/2/2010;1,94;198,241;199,151
25;2;2010;25/2/2010;1,94;198,236;199,146
26;2;2010;26/2/2010;1,93;198,233;199,143
27;2;2010;27/2/2010;1,93;198,228;199,138
28;2;2010;28/2/2010;1,93;198,226;199,136
1;3;2010;1/3/2010;1,93;198,228;199,138
2;3;2010;2/3/2010;1,92;198,219;199,129
3;3;2010;3/3/2010;1,91;198,207;199,117
4;3;2010;4/3/2010;1,91;198,213;199,123
5;3;2010;5/3/2010;1,91;198,207;199,117
6;3;2010;6/3/2010;1,91;198,206;199,116
7;3;2010;7/3/2010;1,91;198,212;199,122
8;3;2010;8/3/2010;1,92;198,222;199,132
9;3;2010;9/3/2010;1,92;198,22;199,13
10;3;2010;10/3/2010;1,93;198,225;199,135
11;3;2010;11/3/2010;1,93;198,225;199,135
12;3;2010;12/3/2010;1,93;198,226;199,136
13;3;2010;13/3/2010;1,92;198,224;199,134
14;3;2010;14/3/2010;1,93;198,225;199,135
15;3;2010;15/3/2010;1,92;198,223;199,133
16;3;2010;16/3/2010;1,92;198,221;199,131
17;3;2010;17/3/2010;1,92;198,218;199,128
18;3;2010;18/3/2010;1,92;198,218;199,128
19;3;2010;19/3/2010;1,92;198,219;199,129
20;3;2010;20/3/2010;1,92;198,219;199,129
21;3;2010;21/3/2010;1,92;198,221;199,131
22;3;2010;22/3/2010;1,92;198,22;199,13
23;3;2010;23/3/2010;1,92;198,218;199,128
24;3;2010;24/3/2010;1,91;198,215;199,125
25;3;2010;25/3/2010;1,91;198,209;199,119
26;3;2010;26/3/2010;1,91;198,207;199,117
27;3;2010;27/3/2010;1,91;198,215;199,125
28;3;2010;28/3/2010;1,96;198,255;199,165
29;3;2010;29/3/2010;2;198,305;199,215
30;3;2010;30/3/2010;2,03;198,327;199,237
31;3;2010;31/3/2010;2,05;198,347;199,257
1;4;2010;1/4/2010;2,08;198,382;199,292
2;4;2010;2/4/2010;2,16;198,458;199,368
3;4;2010;3/4/2010;2,21;198,513;199,423
4;4;2010;4/4/2010;2,26;198,562;199,472
5;4;2010;5/4/2010;2,3;198,603;199,513
6;4;2010;6/4/2010;2,31;198,613;199,523
7;4;2010;7/4/2010;2,35;198,645;199,555
8;4;2010;8/4/2010;2,34;198,643;199,553
9;4;2010;9/4/2010;2,34;198,638;199,548
10;4;2010;10/4/2010;2,33;198,634;199,544
11;4;2010;11/4/2010;2,32;198,625;199,535
12;4;2010;12/4/2010;2,31;198,61;199,52
13;4;2010;13/4/2010;2,31;198,609;199,519
14;4;2010;14/4/2010;2,31;198,612;199,522
15;4;2010;15/4/2010;2,31;198,61;199,52
16;4;2010;16/4/2010;2,31;198,609;199,519
17;4;2010;17/4/2010;2,31;198,612;199,522
18;4;2010;18/4/2010;2,32;198,616;199,526
19;4;2010;19/4/2010;2,31;198,613;199,523
20;4;2010;20/4/2010;2,31;198,608;199,518
21;4;2010;21/4/2010;2,31;198,612;199,522
22;4;2010;22/4/2010;2,31;198,613;199,523
23;4;2010;23/4/2010;2,29;198,587;199,497
24;4;2010;24/4/2010;2,1;198,396;199,306
25;4;2010;25/4/2010;2,07;198,371;199,281
26;4;2010;26/4/2010;2,06;198,358;199,268
27;4;2010;27/4/2010;2,01;198,312;199,222
28;4;2010;28/4/2010;1,98;198,285;199,195
29;4;2010;29/4/2010;1,96;198,263;199,173
30;4;2010;30/4/2010;1,96;198,259;199,169
1;5;2010;1/5/2010;1,88;198,184;199,094
2;5;2010;2/5/2010;1,88;198,176;199,086
3;5;2010;3/5/2010;1,82;198,124;199,034
4;5;2010;4/5/2010;1,8;198,1;199,01
5;5;2010;5/5/2010;1,78;198,082;198,992
6;5;2010;6/5/2010;1,76;198,057;198,967
7;5;2010;7/5/2010;1,73;198,027;198,937
8;5;2010;8/5/2010;1,69;197,988;198,898
9;5;2010;9/5/2010;1,69;197,994;198,904
10;5;2010;10/5/2010;1,69;197,993;198,903
11;5;2010;11/5/2010;1,7;198,001;198,911
12;5;2010;12/5/2010;1,65;197,948;198,858
13;5;2010;13/5/2010;1,61;197,906;198,816
14;5;2010;14/5/2010;1,57;197,866;198,776
15;5;2010;15/5/2010;1,53;197,832;198,742
16;5;2010;16/5/2010;1,53;197,826;198,736
17;5;2010;17/5/2010;1,53;197,827;198,737
18;5;2010;18/5/2010;1,53;197,825;198,735
19;5;2010;19/5/2010;1,53;197,825;198,735
20;5;2010;20/5/2010;1,52;197,824;198,734
21;5;2010;21/5/2010;1,52;197,825;198,735
22;5;2010;22/5/2010;1,52;197,824;198,734
23;5;2010;23/5/2010;1,52;197,823;198,733
24;5;2010;24/5/2010;1,52;197,823;198,733
25;5;2010;25/5/2010;1,52;197,823;198,733
26;5;2010;26/5/2010;1,53;197,826;198,736
27;5;2010;27/5/2010;1,53;197,83;198,74
28;5;2010;28/5/2010;1,53;197,825;198,735
29;5;2010;29/5/2010;1,52;197,824;198,734
30;5;2010;30/5/2010;1,52;197,824;198,734
31;5;2010;31/5/2010;1,52;197,822;198,732
1;6;2010;1/6/2010;1,52;197,822;198,732
2;6;2010;2/6/2010;1,51;197,808;198,718
3;6;2010;3/6/2010;1,49;197,788;198,698
4;6;2010;4/6/2010;1,49;197,787;198,697
5;6;2010;5/6/2010;1,49;197,786;198,696
6;6;2010;6/6/2010;1,47;197,771;198,681
7;6;2010;7/6/2010;1,47;197,769;198,679
8;6;2010;8/6/2010;1,47;197,768;198,678
9;6;2010;9/6/2010;1,47;197,765;198,675
10;6;2010;10/6/2010;1,47;197,766;198,676
11;6;2010;11/6/2010;1,47;197,765;198,675
12;6;2010;12/6/2010;1,46;197,765;198,675
13;6;2010;13/6/2010;1,46;197,763;198,673
14;6;2010;14/6/2010;1,46;197,763;198,673
15;6;2010;15/6/2010;1,46;197,762;198,672
16;6;2010;16/6/2010;1,46;197,763;198,673
17;6;2010;17/6/2010;1,46;197,76;198,67
18;6;2010;18/6/2010;1,46;197,76;198,67
19;6;2010;19/6/2010;1,46;197,762;198,672
20;6;2010;20/6/2010;1,46;197,762;198,672
21;6;2010;21/6/2010;1,46;197,761;198,671
22;6;2010;22/6/2010;1,46;197,762;198,672
23;6;2010;23/6/2010;1,46;197,76;198,67
24;6;2010;24/6/2010;1,46;197,759;198,669
25;6;2010;25/6/2010;1,46;197,759;198,669
26;6;2010;26/6/2010;1,46;197,757;198,667
27;6;2010;27/6/2010;1,46;197,757;198,667
28;6;2010;28/6/2010;1,46;197,758;198,668
29;6;2010;29/6/2010;1,46;197,757;198,667
30;6;2010;30/6/2010;1,46;197,757;198,667
1;7;2010;1/7/2010;1,46;197,756;198,666
2;7;2010;2/7/2010;1,45;197,752;198,662
3;7;2010;3/7/2010;1,45;197,752;198,662
4;7;2010;4/7/2010;1,45;197,751;198,661
5;7;2010;5/7/2010;1,45;197,751;198,661
6;7;2010;6/7/2010;1,45;197,751;198,661
7;7;2010;7/7/2010;1,51;197,813;198,723
8;7;2010;8/7/2010;1,73;198,028;198,938
9;7;2010;9/7/2010;1,72;198,023;198,933
10;7;2010;10/7/2010;1,76;198,064;198,974
11;7;2010;11/7/2010;1,9;198,201;199,111
12;7;2010;12/7/2010;2;198,304;199,214
13;7;2010;13/7/2010;2,05;198,345;199,255
14;7;2010;14/7/2010;2,1;198,403;199,313
15;7;2010;15/7/2010;2,48;198,776;199,686
16;7;2010;16/7/2010;2,59;198,89;199,8
17;7;2010;17/7/2010;2,63;198,929;199,839
18;7;2010;18/7/2010;2,66;198,959;199,869
19;7;2010;19/7/2010;2,68;198,976;199,886
20;7;2010;20/7/2010;2,68;198,976;199,886
21;7;2010;21/7/2010;2,68;198,978;199,888
22;7;2010;22/7/2010;2,68;198,978;199,888
23;7;2010;23/7/2010;2,68;198,98;199,89
24;7;2010;24/7/2010;2,68;198,983;199,893
25;7;2010;25/7/2010;2,69;198,986;199,896
26;7;2010;26/7/2010;2,52;198,823;199,733
27;7;2010;27/7/2010;2,56;198,856;199,766
28;7;2010;28/7/2010;2,63;198,93;199,84
29;7;2010;29/7/2010;2,64;198,94;199,85
30;7;2010;30/7/2010;2,65;198,949;199,859
31;7;2010;31/7/2010;2,65;198,95;199,86
1;8;2010;1/8/2010;2,65;198,949;199,859
2;8;2010;2/8/2010;2,66;198,964;199,874
3;8;2010;3/8/2010;2,67;198,975;199,885
4;8;2010;4/8/2010;2,67;198,974;199,884
5;8;2010;5/8/2010;2,68;198,983;199,893
6;8;2010;6/8/2010;2,7;199,005;199,915
7;8;2010;7/8/2010;2,71;199,008;199,918
8;8;2010;8/8/2010;2,71;199,005;199,915
9;8;2010;9/8/2010;2,7;199,004;199,914
10;8;2010;10/8/2010;2,7;199;199,91
11;8;2010;11/8/2010;2,7;199,003;199,913
12;8;2010;12/8/2010;2,7;198,999;199,909
13;8;2010;13/8/2010;2,7;198,997;199,907
14;8;2010;14/8/2010;2,69;198,994;199,904
15;8;2010;15/8/2010;2,57;198,873;199,783
16;8;2010;16/8/2010;2,31;198,608;199,518
17;8;2010;17/8/2010;2,17;198,468;199,378
18;8;2010;18/8/2010;2,09;198,391;199,301
19;8;2010;19/8/2010;1,98;198,283;199,193
20;8;2010;20/8/2010;1,74;198,042;198,952
21;8;2010;21/8/2010;1,7;197,995;198,905
22;8;2010;22/8/2010;1,66;197,957;198,867
23;8;2010;23/8/2010;1,65;197,953;198,863
24;8;2010;24/8/2010;1,64;197,943;198,853
25;8;2010;25/8/2010;1,63;197,927;198,837
26;8;2010;26/8/2010;1,62;197,919;198,829
27;8;2010;27/8/2010;1,61;197,908;198,818
28;8;2010;28/8/2010;1,58;197,884;198,794
29;8;2010;29/8/2010;1,58;197,882;198,792
30;8;2010;30/8/2010;1,58;197,884;198,794
31;8;2010;31/8/2010;1,58;197,882;198,792
1;9;2010;1/9/2010;1,57;197,874;198,784
2;9;2010;2/9/2010;1,58;197,877;198,787
3;9;2010;3/9/2010;1,58;197,881;198,791
4;9;2010;4/9/2010;1,58;197,882;198,792
5;9;2010;5/9/2010;1,58;197,882;198,792
6;9;2010;6/9/2010;1,58;197,875;198,785
7;9;2010;7/9/2010;1,65;197,951;198,861
