Mes,Mañana,Tarde,Caudal,Año,Día,Abertura
AGOSTO,,,0.0,2009,1,
AGOSTO,,,0.0,2009,2,
AGOSTO,,,0.0,2009,3,
AGOSTO,,,0.0,2009,4,
AGOSTO,,,0.0,2009,5,
AGOSTO,,,0.0,2009,6,
AGOSTO,,,0.0,2009,7,
AGOSTO,,,0.0,2009,8,
AGOSTO,,,0.0,2009,9,
AGOSTO,,,0.0,2009,10,
AGOSTO,,,0.0,2009,11,
AGOSTO,,,0.0,2009,12,
AGOSTO,,,0.0,2009,13,
AGOSTO,,,0.0,2009,14,
AGOSTO,,,0.0,2009,15,
AGOSTO,,,0.0,2009,16,
AGOSTO,,,0.0,2009,17,
AGOSTO,,,0.0,2009,18,
AGOSTO,,,0.0,2009,19,
AGOSTO,,,0.0,2009,20,
AGOSTO,,,0.0,2009,21,
AGOSTO,,,0.0,2009,22,
AGOSTO,,,0.0,2009,23,
AGOSTO,,,0.0,2009,24,
AGOSTO,,,0.0,2009,25,
AGOSTO,1.85,1.85,5394.311944861429,2009,26,0.29
AGOSTO,1.85,1.85,5394.311944861429,2009,27,0.29
AGOSTO,0.0,1.85,,2009,28,0.49
AGOSTO,0.0,0.0,0.0,2009,29,
AGOSTO,0.0,0.0,0.0,2009,30,
AGOSTO,0.0,0.0,0.0,2009,31,
SEPT,1.5,1.69,6346.667271742081,2009,1,0.39
SEPT,1.65,1.8,6701.499222764115,2009,2,0.39
SEPT,1.65,1.7,6701.499222764115,2009,3,0.39
SEPT,1.78,1.68,7993.805522834211,2009,4,0.45
SEPT,1.75,1.66,7916.319310770226,2009,5,0.45
SEPT,1.78,1.75,7993.805522834211,2009,6,0.45
SEPT,1.84,1.76,8146.56721266921,2009,7,0.45
SEPT,1.5,1.78,9363.058595503671,2009,8,0.6
SEPT,1.9,1.7,10811.52880110457,2009,9,0.6
SEPT,1.85,1.79,10641.257863750356,2009,10,0.6
SEPT,1.71,1.85,10149.313664422403,2009,11,0.6
SEPT,1.79,1.78,10433.26533783585,2009,12,0.6
SEPT,1.84,1.84,10606.875680612638,2009,13,0.6
SEPT,1.89,1.78,10777.689817315055,2009,14,0.6
SEPT,1.76,1.78,10635.344410743677,2009,15,0.62
SEPT,1.7,1.79,11873.008083490848,2009,16,0.72
SEPT,1.88,1.89,12645.329733281429,2009,17,0.72
SEPT,1.72,1.75,11961.284451970325,2009,18,0.72
SEPT,1.75,1.78,12672.133622508296,2009,19,0.76
SEPT,1.64,1.79,12288.20522674607,2009,20,0.77
SEPT,1.8,1.75,13339.548220376746,2009,21,0.79
SEPT,1.74,1.67,13051.610400723708,2009,22,0.79
SEPT,1.71,1.79,12905.232571191451,2009,23,0.79
SEPT,1.79,1.73,13291.991747358392,2009,24,0.79
SEPT,1.56,1.4,12146.913025038415,2009,25,0.79
SEPT,1.83,1.74,13481.21111248893,2009,26,0.79
SEPT,1.7,1.78,12856.069601733958,2009,27,0.79
SEPT,1.75,1.75,13522.036983975688,2009,28,0.82
SEPT,1.8,1.82,13772.003372417796,2009,29,0.82
SEPT,1.95,1.85,14953.047587010426,2009,30,0.85
SEPT,1.93,,15153.59642529424,2009,1,0.87
OCT.,1.93,1.85,15450.021970400128,2009,1,0.89
OCT.,1.83,1.83,14920.75369226989,2009,2,0.89
OCT.,1.83,1.8,14920.75369226989,2009,3,0.89
OCT.,1.81,1.8,14812.63086414069,2009,4,0.89
OCT.,1.82,1.85,14866.790572660246,2009,5,0.89
OCT.,1.8,1.79,14758.272402393422,2009,6,0.89
OCT.,1.77,1.79,14593.982248211383,2009,7,0.89
OCT.,1.8,1.85,14758.272402393422,2009,8,0.89
OCT.,1.84,1.84,14974.522348289833,2009,9,0.89
OCT.,1.85,1.85,15028.098628019376,2009,10,0.89
OCT.,1.85,1.85,15028.098628019376,2009,11,0.89
OCT.,1.84,1.9,14974.522348289833,2009,12,0.89
OCT.,1.9,1.86,15293.16489297452,2009,13,0.89
OCT.,1.8,1.8,14758.272402393422,2009,14,0.89
OCT.,1.75,1.78,14483.420184231927,2009,15,0.89
OCT.,1.75,1.84,14483.420184231927,2009,16,0.89
OCT.,1.85,1.87,15028.098628019376,2009,17,0.89
OCT.,1.9,1.87,15293.16489297452,2009,18,0.89
OCT.,1.9,1.86,15293.16489297452,2009,19,0.89
OCT.,1.81,1.85,14812.63086414069,2009,20,0.89
OCT.,1.88,1.84,15187.693531791327,2009,21,0.89
