Freatimetro,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
60095,"1,76","1,52","1,45","2,28","1,38","1,88","2,05",,,"1,5","1,34","1,67"
62053,"2,16","2,82","1,32","1,81","1,82","1,73","2,64",,"1,96",,"2,04","2,08"
60140,"2,58","3,74","3,62","2,7","3,25","3,27","3,63",,,"2,27","2,52","2,06"
60151,"2,71","2,03","1,89","2,32",2,"2,52","2,84",,,"1,98","2,38","1,68"
60410,"1,39","1,53","1,05","1,37","1,4","2,1","2,25",,,"1,44","2,27","1,48"
60230,"1,67","2,35","1,51","2,14","1,7","2,3","2,87",,,"1,56","1,5","1,54"
60520,"2,12","1,73","2,12","1,98","1,97","2,65","2,85",,,"1,9","1,94","1,83"
60080,,,,,,,,,,,,
60440,"1,18","1,23","1,09","1,39","1,14","1,54","1,59",,"1,5","1,37","1,3","1,36"
60300,"1,41","1,35","1,26","1,28","1,02","1,61","1,86",,"1,81","1,33","1,27","1,23"
60040,"1,78","1,95","1,86","1,03","1,71","1,59","2,1",,"2,05","1,48","1,46","1,88"
60430,"1,49","1,72","1,59","1,86","1,48","1,56","1,38",,"1,38","1,5","1,65","1,51"
60075,"2,14","1,91","1,72","1,6","1,8","2,05","2,63",,"2,58","1,66","1,84","1,81"
60160,"1,7","2,65","2,55","2,34","2,37","1,87","2,89",,"2,82","2,35","2,24",2
60170,"3,01","3,1","2,95","2,71","2,97","2,96","3,06",,"3,01","2,62","2,83","1,86"
60771,"1,59","1,47","1,44","1,3","1,46","1,64","1,9","2,15","1,99","1,24","1,31","1,39"
60460,2,"1,67","1,49","1,58","1,77","2,52","2,93","2,68","2,27","2,04","2,17","2,01"
60480,"2,65","2,36","2,51","2,24","2,28","2,42","2,92","3,2","2,88","3,54","2,07","3,2"
60455,"2,56","2,5","2,42","2,51","2,56","2,9","2,74","2,82","2,15","2,36","2,13","2,26"
60451,"3,78","3,95","3,83","3,43","2,65","3,03","3,95","3,15","3,43","3,71","2,43","2,36"
60640,"3,1","3,05","3,19","3,25","3,4","3,35","3,38","3,57","3,47",3,"2,73","3,25"
60610,"3,5","3,35","3,41","3,5","3,06","3,42","3,4","3,7","3,29","3,24","3,03","3,05"
60590,"3,76","3,64","3,79","3,43","3,53","4,7","3,71","3,89","3,81","3,54","3,37","3,5"
60565,"0,95","1,12","1,1","0,98","1,08","1,74","1,95",2,"2,23","1,28","0,66","0,7"
60561,"1,44","1,6","1,44","1,45","1,35","2,1","2,34","2,23","2,6","1,4","1,1","0,91"
60660,,,,,,,,,,,,
61150,"2,1","2,06","2,33","2,28","1,97","2,36","2,22","2,48","2,71","2,04","1,77","1,11"
61140,,,,,,,,,,,,
60990,"2,65","2,27","2,83","2,48","2,7","2,7","2,76","3,03","2,98","2,79","2,02","2,48"
60735,"1,08","1,34","1,52","2,27","1,57","2,21","2,22","2,51","2,21","2,8","1,25","1,46"
60685,,,,,,,,,,,,
60970,"1,29","1,76","1,8","1,8","1,58",2,"2,1",,"1,83","1,65","1,69","1,66"
60955,"1,65","1,88","1,92","1,77","1,97","2,38","2,5",,"2,05","1,87","1,62","1,58"
60947,"2,46","2,38","2,42","2,5","2,52","2,9","3,06",,"2,27","2,12","2,03",2
61107,,,,,,,,,,,,
61137,"1,61","1,92","2,05","2,32","2,3","2,95","3,18",,"2,25","2,05","1,4","1,39"
61061,"1,3","1,68","1,71","1,75","1,62","1,84",2,,"1,63","1,48","1,29","1,25"
60927,"2,48","1,81","2,18","2,05","2,55","3,05","3,14",,,,,
60933,"1,95","1,9","1,85","1,81",2,,,,"1,81","1,62","1,68","1,65"
61190,"2,02","1,88","2,19","2,6","1,99","2,1","2,49","2,45","2,23",2,"1,71","1,88"
61341,"2,15","2,17","2,18","2,6","1,92","2,35","2,38","2,38","2,52","3,2","1,83","1,83"
61465,"1,72","1,78","2,04","2,9","1,52","2,18","2,74","2,84","2,56","1,72","1,81","1,85"
61350,"1,37","1,25","1,39","1,35","1,58","1,36","1,36","1,6","1,46","1,35","1,35","1,6"
61210,"1,4","1,95","2,07","2,98",2,"2,15","2,9","2,88","2,89","2,8","1,41","1,58"
61423,"1,97","1,78","2,19","3,25","2,18","2,68","3,51","3,41","3,46","2,8","1,83","2,17"
61300,"1,25","1,28","1,41","1,25","1,28","1,3","1,41","1,36","1,3","1,4","1,3","1,3"
61271,"1,8","1,97","1,81","1,98","2,2","2,36","2,72","2,52","2,62","2,35","2,07","2,1"
54390,"1,98","2,38","2,08","2,38","2,2","2,9","3,16","3,25","2,97","2,03","1,32","1,65"
61230,"2,02","1,75","2,35","2,35","2,4","2,86","3,21","3,42","3,64","2,91","2,01","1,75"
61250,"2,45","2,77","2,1","2,5","2,75",3,"2,92","2,94","3,5","3,9","2,7","2,87"
61383,"2,15","2,1","2,05","2,64","2,75","3,41","3,7","3,35","3,18","2,9","2,47","2,48"
61267,"3,3","3,3","3,58","3,65","3,6","4,3","4,11","3,65","3,9","4,53","3,46","3,48"
61390,"4,31","4,11","4,31","4,28","4,5","4,5","4,44","4,49","4,52","3,9","4,38","4,1"
61403,,,,,,,,,,,,
