Fecha;Altura;Cota
01/01/2010 10:00;1,7;236,7
02/01/2010 10:00;1,66;236,66
03/01/2010 10:00;1,64;236,64
04/01/2010 10:00;1,64;236,64
05/01/2010 10:00;1,64;236,64
06/01/2010 10:00;1,6;236,6
07/01/2010 10:00;1,6;236,6
08/01/2010 10:00;1,6;236,6
09/01/2010 10:00;1,6;236,6
10/01/2010 10:00;1,54;236,54
11/01/2010 10:00;1,54;236,54
12/01/2010 10:00;1,54;236,54
13/01/2010 10:00;1,54;236,54
14/01/2010 10:00;1,54;236,54
15/01/2010 10:00;1,54;236,54
16/01/2010 10:00;1,52;236,52
17/01/2010 10:00;1,52;236,52
18/01/2010 10:00;1,52;236,52
19/01/2010 10:00;1,5;236,5
20/01/2010 10:00;1,5;236,5
21/01/2010 10:00;1,5;236,5
22/01/2010 10:00;1,5;236,5
23/01/2010 10:00;1,5;236,5
24/01/2010 10:00;1,5;236,5
25/01/2010 10:00;1,5;236,5
26/01/2010 10:00;1,5;236,5
27/01/2010 10:00;1,5;236,5
28/01/2010 10:00;1,5;236,5
29/01/2010 10:00;1,5;236,5
30/01/2010 10:00;1,5;236,5
31/01/2010 10:00;1,5;236,5
01/02/2010 10:00;1,5;236,5
02/02/2010 10:00;1,5;236,5
03/02/2010 10:00;1,5;236,5
04/02/2010 10:00;1,5;236,5
05/02/2010 10:00;1,5;236,5
06/02/2010 10:00;1,5;236,5
07/02/2010 10:00;1,5;236,5
08/02/2010 10:00;1,5;236,5
09/02/2010 10:00;1,56;236,56
10/02/2010 10:00;1,56;236,56
11/02/2010 10:00;1,56;236,56
12/02/2010 10:00;1,56;236,56
13/02/2010 10:00;1,56;236,56
14/02/2010 10:00;1,58;236,58
15/02/2010 10:00;1,58;236,58
16/02/2010 10:00;1,58;236,58
17/02/2010 10:00;1,58;236,58
18/02/2010 10:00;1,58;236,58
19/02/2010 10:00;1,58;236,58
20/02/2010 10:00;1,58;236,58
21/02/2010 10:00;1,58;236,58
22/02/2010 10:00;1,58;236,58
23/02/2010 10:00;1,58;236,58
24/02/2010 10:00;1,58;236,58
25/02/2010 10:00;1,6;236,6
26/02/2010 10:00;1,6;236,6
27/02/2010 10:00;1,6;236,6
28/02/2010 10:00;1,6;236,6
01/03/2010 10:00;1,6;236,6
02/03/2010 10:00;1,6;236,6
03/03/2010 10:00;1,6;236,6
04/03/2010 10:00;1,55;236,55
05/03/2010 10:00;1,55;236,55
06/03/2010 10:00;1,55;236,55
07/03/2010 10:00;1,55;236,55
08/03/2010 10:00;1,55;236,55
09/03/2010 10:00;1,55;236,55
10/03/2010 10:00;1,55;236,55
